requestedUrl,finalUrl,category,name,title,type,score
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","0.72"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-allowed-attr","`[aria-*]` attributes match their roles","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-command-name","`button`, `link`, and `menuitem` elements have accessible names","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-hidden-body","`[aria-hidden=""true""]` is not present on the document `<body>`","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-hidden-focus","`[aria-hidden=""true""]` elements do not contain focusable descendents","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-input-field-name","ARIA input fields have accessible names","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-meter-name","ARIA `meter` elements have accessible names","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-progressbar-name","ARIA `progressbar` elements have accessible names","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-required-attr","`[role]`s have all required `[aria-*]` attributes","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-required-children","Elements with an ARIA `[role]` that require children to contain a specific `[role]` have all required children.","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-required-parent","`[role]`s are contained by their required parent element","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-roles","`[role]` values are valid","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-toggle-field-name","ARIA toggle fields have accessible names","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-tooltip-name","ARIA `tooltip` elements have accessible names","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-treeitem-name","ARIA `treeitem` elements have accessible names","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-valid-attr-value","`[aria-*]` attributes have valid values","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","aria-valid-attr","`[aria-*]` attributes are valid and not misspelled","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","button-name","Buttons have an accessible name","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","bypass","The page contains a heading, skip link, or landmark region","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","color-contrast","Background and foreground colors do not have a sufficient contrast ratio.","binary","0"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","definition-list","`<dl>`'s contain only properly-ordered `<dt>` and `<dd>` groups, `<script>`, `<template>` or `<div>` elements.","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","dlitem","Definition list items are wrapped in `<dl>` elements","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","document-title","Document has a `<title>` element","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","duplicate-id-active","`[id]` attributes on active, focusable elements are unique","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","duplicate-id-aria","ARIA IDs are unique","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","form-field-multiple-labels","No form fields have multiple labels","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","frame-title","`<frame>` or `<iframe>` elements have a title","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","heading-order","Heading elements are not in a sequentially-descending order","binary","0"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","html-has-lang","`<html>` element has a `[lang]` attribute","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","html-lang-valid","`<html>` element has a valid value for its `[lang]` attribute","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","image-alt","Image elements do not have `[alt]` attributes","binary","0"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","input-image-alt","`<input type=""image"">` elements have `[alt]` text","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","label","Form elements have associated labels","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","link-name","Links do not have a discernible name","binary","0"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","list","Lists contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","listitem","List items (`<li>`) are contained within `<ul>` or `<ol>` parent elements","binary","1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","meta-refresh","The document does not use `<meta http-equiv=""refresh"">`","notApplicable","-1"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","meta-viewport","`[user-scalable=""no""]` is used in the `<meta name=""viewport"">` element or the `[maximum-scale]` attribute is less than 5.","binary","0"
"https://turnitin.com/","https://www.turnitin.com/","Accessibility","object-alt","`<object>` elements have `[alt]` text","notApplicable","-1"
